Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After
https://mit.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,16,16
https://harvard.edu,Compliant,No Granular Options Found,23,32
https://stanford.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,39,39
https://berkeley.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,35,35
https://cornell.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,45,45
https://washington.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,83,83
https://princeton.edu,Compliant,No Granular Options Found,85,82
https://academia.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,93,93
https://columbia.edu,Non-Compliant - Cookies Set Before Consent,No Granular Options Found,98,98
https://umich.edu,Compliant,Granular Consent Evaluated,95,98
https://yale.edu,Compliant,Granular Consent Evaluated,103,102
https://psu.edu,Compliant,Granular Consent Evaluated,107,106
https://upenn.edu,Compliant,Granular Consent Evaluated,106,108
http://uci.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,108,108
https://umn.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,118,118
https://wisc.edu,Compliant,Granular Consent Evaluated,123,125
https://jhu.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,132,132
http://ucla.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,137,137
https://cmu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,143,143
https://si.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,161,161
https://uchicago.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,173,173
https://utexas.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,172,172
http://uiuc.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0
http://nyu.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
http://purdue.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0
https://usc.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,195,195
http://ucsd.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,201,201
https://ufl.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,196,196
https://duke.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,205,205
https://umd.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,211,211
https://unc.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,210,210
http://msu.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
https://illinois.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,214,214
https://ucdavis.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,238,238
https://northwestern.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,233,233
http://colorado.edu,Compliant,Granular Consent Evaluated,235,236
http://asu.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
http://rutgers.edu,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
http://arizona.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0
http://virginia.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0
